#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
12 4.40532000000000e-10 5.67733484854901e-12 -3.89252958788189e-06 -2.16497217152195e-02 2.34885783584461e-32 -1.61032339159345e-26 6.92997105107235e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
13 4.77243000000000e-10 6.66099265437690e-12 -4.56831571144771e-06 -2.13705324251903e-02 2.53388590786818e-32 -1.74451674204373e-26 6.92996780289994e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
14 5.13954000000000e-10 7.71899985656652e-12 -5.29816460880106e-06 -2.10913432712802e-02 2.73010424338608e-32 -1.87871003801323e-26 6.92996429364029e-24 1.00032191846905e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
15 5.50665000000000e-10 8.86075953600875e-12 -6.08207626183563e-06 -2.08121542640076e-02 2.93251982073040e-32 -2.01290326947752e-26 6.92996052550406e-24 1.00032191846903e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
16 5.87376000000000e-10 1.00818620062444e-11 -6.92005063669148e-06 -2.05329654137131e-02 3.12190654914344e-32 -2.14709641233841e-26 6.92995649849140e-24 1.00032191846910e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
17 6.24087000000000e-10 1.13762190284410e-11 -7.81208769582807e-06 -2.02537767309149e-02 3.30831700941721e-32 -2.28128947151803e-26 6.92995221039333e-24 1.00032191846905e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
18 6.60798000000000e-10 1.27475207293081e-11 -8.75818740936042e-06 -1.99745882261316e-02 3.51204548285958e-32 -2.41548246205370e-26 6.92994766341634e-24 1.00032191846910e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
19 6.97509000000000e-10 1.42060308785544e-11 -9.75834975187243e-06 -1.96953999097037e-02 3.71390739086862e-32 -2.54967535995292e-26 6.92994285756065e-24 1.00032191846923e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
20 7.34220000000000e-10 1.57399817313635e-11 -1.08125746741301e-05 -1.94162117921497e-02 3.89868023680329e-32 -2.68386814510620e-26 6.92993779062177e-24 1.00032191846925e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
21 7.70931000000000e-10 1.73473716122525e-11 -1.19208621345232e-05 -1.91370238839877e-02 4.09057560935620e-32 -2.81806083636068e-26 6.92993246260171e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
