#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -2.50000000000000e-02 0.00000000000000e+00 0.00000000000000e+00 6.92998976172067e-24 1.00032191846926e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
1 3.67110000000000e-11 4.45772358173697e-14 -2.70314122580203e-07 -2.47208100229684e-02 2.05554632813391e-33 -1.34193432825888e-26 6.92997676828900e-24 1.00032191846919e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
2 7.34220000000000e-11 1.65624545188796e-13 -1.08125576900856e-06 -2.44416210927820e-02 3.91792973223372e-33 -2.68386382657068e-26 6.92993779043849e-24 1.00032191846922e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
3 1.10133000000000e-10 3.60262326978493e-13 -2.43282189555401e-06 -2.41624342563682e-02 5.83033396471222e-33 -4.02578326582412e-26 6.92987282608966e-24 1.00032191846913e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
4 1.46844000000000e-10 6.35400583796001e-13 -4.32500744091979e-06 -2.38832505606466e-02 7.85306349426518e-33 -5.36768761994370e-26 6.92978187770383e-24 1.00032191846914e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
5 1.83555000000000e-10 9.93018714793535e-13 -6.75780531172907e-06 -2.36040710523466e-02 9.79282837312375e-33 -6.70957183820108e-26 6.92966494562159e-24 1.00032191846924e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
6 2.20266000000000e-10 1.42445248849472e-12 -9.73120637691675e-06 -2.33248967783603e-02 1.16387387863057e-32 -8.05143088757939e-26 6.92952202806659e-24 1.00032191846922e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
7 2.56977000000000e-10 1.93080386303832e-12 -1.32451994878689e-05 -2.30457287855602e-02 1.36323453823976e-32 -9.39325975999347e-26 6.92935312557989e-24 1.00032191846909e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
8 2.93688000000000e-10 2.52287142117148e-12 -1.72997714782850e-05 -2.27665681207947e-02 1.56525858963859e-32 -1.07350534117675e-25 6.92915824099454e-24 1.00032191846905e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
9 3.30399000000000e-10 3.19200259382606e-12 -2.18949071357221e-05 -2.24874158307081e-02 1.75079811585733e-32 -1.20768067930318e-25 6.92893737504209e-24 1.00032191846910e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
