#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
12 4.40532000000000e-10 6.43317757518385e-12 -2.49999960334870e-02 5.99948802064099e-03 2.66036077679741e-32 2.46350345562809e-29 -2.11726296888083e-27 1.00000000003006e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
13 4.77243000000000e-10 7.54996962743827e-12 -2.49999949562840e-02 5.99939913993994e-03 2.88199678385710e-32 2.89093264119303e-29 -2.29366584428475e-27 1.00000000003528e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
14 5.13954000000000e-10 8.75607860232990e-12 -2.49999936999411e-02 5.99930315033762e-03 3.10361815323343e-32 3.35253094225520e-29 -2.47006010886241e-27 1.00000000004091e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
15 5.50665000000000e-10 1.00514983717993e-11 -2.49999922506883e-02 5.99920005219440e-03 3.32522374719797e-32 3.84829662556541e-29 -2.64644510072893e-27 1.00000000004696e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
16 5.87376000000000e-10 1.14362223488572e-11 -2.49999905947564e-02 5.99908984589729e-03 3.54681242660253e-32 4.37822782966275e-29 -2.82282015803421e-27 1.00000000005343e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
17 6.24087000000000e-10 1.29102434872859e-11 -2.49999887183770e-02 5.99897253186001e-03 3.76838305093006e-32 4.94232256488154e-29 -2.99918461896544e-27 1.00000000006032e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
18 6.60798000000000e-10 1.44735542808348e-11 -2.49999866077827e-02 5.99884811052292e-03 3.98993447828064e-32 5.54057871335876e-29 -3.17553782174959e-27 1.00000000006763e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
19 6.97509000000000e-10 1.61261467629099e-11 -2.49999842492067e-02 5.99871658235305e-03 4.21146556555306e-32 6.17299402904208e-29 -3.35187910465584e-27 1.00000000007535e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
20 7.34220000000000e-10 1.78680125059160e-11 -2.49999816288834e-02 5.99857794784413e-03 4.43297516836534e-32 6.83956613769826e-29 -3.52820780599813e-27 1.00000000008349e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
21 7.70931000000000e-10 1.96991426208827e-11 -2.49999787330479e-02 5.99843220751652e-03 4.65446214130185e-32 7.54029253692225e-29 -3.70452326413759e-27 1.00000000009204e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
22 8.07642000000000e-10 2.16195277570048e-11 -2.49999755479365e-02 5.99827936191726e-03 4.87592533776882e-32 8.27517059614661e-29 -3.88082481748507e-27 1.00000000010102e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
23 8.44353000000000e-10 2.36291581011524e-11 -2.49999720597865e-02 5.99811941162003e-03 5.09736361017667e-32 9.04419755665137e-29 -4.05711180450358e-27 1.00000000011041e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
24 8.81064000000000e-10 2.57280233775585e-11 -2.49999682548366e-02 5.99795235722521e-03 5.31877580992584e-32 9.84737053157459e-29 -4.23338356371079e-27 1.00000000012022e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
25 9.17775000000000e-10 2.79161128473169e-11 -2.49999641193264e-02 5.99777819935980e-03 5.54016078745805e-32 1.06846865059230e-28 -4.40963943368153e-27 1.00000000013044e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
26 9.54486000000000e-10 3.01934153081117e-11 -2.49999596394967e-02 5.99759693867746e-03 5.76151739237453e-32 1.15561423365836e-28 -4.58587875305023e-27 1.00000000014108e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
