timestamp_utc,F_drag_nN,V_min_V,P_at_Vmin_mW,P_at_100V_mW,P_at_200V_mW,P_at_300V_mW,P_at_350V_mW,feasible_at_350V
2024-01-01T12:00:00+00:00,1.7226,100.0,5.871,5.871,8.303,10.169,10.984,1
2024-01-01T12:05:00+00:00,1.3301,100.0,4.533,4.533,6.411,7.852,8.481,1
2024-01-01T12:10:00+00:00,0.9571,100.0,3.262,3.262,4.613,5.650,6.103,1
2024-01-01T12:15:00+00:00,0.6928,100.0,2.361,2.361,3.340,4.090,4.418,1
2024-01-01T12:20:00+00:00,0.5595,100.0,1.907,1.907,2.697,3.303,3.567,1
2024-01-01T12:25:00+00:00,0.5210,100.0,1.776,1.776,2.511,3.076,3.322,1
2024-01-01T12:30:00+00:00,0.5130,100.0,1.748,1.748,2.473,3.028,3.271,1
2024-01-01T12:35:00+00:00,0.4791,100.0,1.633,1.633,2.309,2.828,3.055,1
2024-01-01T12:40:00+00:00,0.4149,100.0,1.414,1.414,2.000,2.449,2.646,1
2024-01-01T12:45:00+00:00,0.3647,100.0,1.243,1.243,1.758,2.153,2.325,1
2024-01-01T12:50:00+00:00,0.3759,100.0,1.281,1.281,1.812,2.219,2.397,1
2024-01-01T12:55:00+00:00,0.4808,100.0,1.639,1.639,2.317,2.838,3.066,1
2024-01-01T13:00:00+00:00,0.6897,100.0,2.351,2.351,3.325,4.072,4.398,1
2024-01-01T13:05:00+00:00,0.9694,100.0,3.304,3.304,4.673,5.723,6.181,1
2024-01-01T13:10:00+00:00,1.2707,100.0,4.331,4.331,6.125,7.501,8.102,1
2024-01-01T13:15:00+00:00,1.5726,100.0,5.360,5.360,7.580,9.283,10.027,1
2024-01-01T13:20:00+00:00,1.8549,100.0,6.322,6.322,8.941,10.950,11.827,1
2024-01-01T13:25:00+00:00,2.0500,100.0,6.987,6.987,9.881,12.102,13.071,1
2024-01-01T13:30:00+00:00,2.0569,100.0,7.011,7.011,9.915,12.143,13.116,1
2024-01-01T13:35:00+00:00,1.8366,100.0,6.260,6.260,8.853,10.842,11.711,1
2024-01-01T13:40:00+00:00,1.4658,100.0,4.996,4.996,7.065,8.653,9.346,1
2024-01-01T13:45:00+00:00,1.0745,100.0,3.662,3.662,5.179,6.343,6.851,1
2024-01-01T13:50:00+00:00,0.7691,100.0,2.621,2.621,3.707,4.540,4.904,1
2024-01-01T13:55:00+00:00,0.5948,100.0,2.027,2.027,2.867,3.511,3.793,1
2024-01-01T14:00:00+00:00,0.5316,100.0,1.812,1.812,2.562,3.138,3.390,1
2024-01-01T14:05:00+00:00,0.5210,100.0,1.776,1.776,2.511,3.076,3.322,1
2024-01-01T14:10:00+00:00,0.4986,100.0,1.699,1.699,2.403,2.943,3.179,1
2024-01-01T14:15:00+00:00,0.4400,100.0,1.500,1.500,2.121,2.597,2.805,1
2024-01-01T14:20:00+00:00,0.3778,100.0,1.288,1.288,1.821,2.230,2.409,1
2024-01-01T14:25:00+00:00,0.3630,100.0,1.237,1.237,1.750,2.143,2.315,1
2024-01-01T14:30:00+00:00,0.4328,100.0,1.475,1.475,2.086,2.555,2.760,1
2024-01-01T14:35:00+00:00,0.6071,100.0,2.069,2.069,2.926,3.584,3.871,1
2024-01-01T14:40:00+00:00,0.8678,100.0,2.958,2.958,4.183,5.123,5.533,1
2024-01-01T14:45:00+00:00,1.1650,100.0,3.971,3.971,5.616,6.878,7.429,1
2024-01-01T14:50:00+00:00,1.4681,100.0,5.004,5.004,7.076,8.667,9.361,1
2024-01-01T14:55:00+00:00,1.7626,100.0,6.007,6.007,8.496,10.405,11.239,1
2024-01-01T15:00:00+00:00,1.9991,100.0,6.814,6.814,9.636,11.801,12.747,1
2024-01-01T15:05:00+00:00,2.0797,100.0,7.088,7.088,10.024,12.277,13.261,1
2024-01-01T15:10:00+00:00,1.9322,100.0,6.585,6.585,9.313,11.406,12.320,1
2024-01-01T15:15:00+00:00,1.5975,100.0,5.445,5.445,7.700,9.431,10.186,1
2024-01-01T15:20:00+00:00,1.1994,100.0,4.088,4.088,5.781,7.081,7.648,1
