step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
2200,8.075929e-08,-2.090734e-01,-1.300275e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.370238e-07,3.417424e-07,0.000000e+00,0.000000e+00,-8.997323e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.110119e-01,-1.312331e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.751692e-07,0.000000e+00,0.000000e+00,-3.843860e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.121908e-01,-1.319663e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.281474e-07,3.284278e-07,0.000000e+00,0.000000e+00,-3.996113e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.137887e-01,-1.329601e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.325856e-07,2.618546e-07,0.000000e+00,0.000000e+00,3.800960e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.153605e-01,-1.339376e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.103945e-07,2.441017e-07,0.000000e+00,0.000000e+00,9.603375e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.170633e-01,-1.349966e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.814059e-07,2.929221e-07,0.000000e+00,0.000000e+00,-8.939743e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.185303e-01,-1.359090e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.725295e-07,3.239896e-07,0.000000e+00,0.000000e+00,2.565200e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.209404e-01,-1.374079e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.790466e-07,2.707310e-07,0.000000e+00,0.000000e+00,-3.975212e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.231670e-01,-1.387927e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.056759e-07,3.284278e-07,0.000000e+00,0.000000e+00,2.196523e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.254199e-01,-1.401938e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.145523e-07,3.328660e-07,0.000000e+00,0.000000e+00,-6.951329e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3200,1.174681e-07,-2.278562e-01,-1.417090e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.500580e-07,3.373042e-07,0.000000e+00,0.000000e+00,1.522953e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3300,1.211389e-07,-2.303187e-01,-1.432404e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.101141e-07,2.929221e-07,0.000000e+00,0.000000e+00,-5.602373e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3400,1.248098e-07,-2.327811e-01,-1.447719e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.900020e-07,3.728099e-07,0.000000e+00,0.000000e+00,-1.260951e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3500,1.284807e-07,-2.339862e-01,-1.455213e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.967995e-07,4.926417e-07,0.000000e+00,0.000000e+00,-8.774838e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3600,1.321516e-07,-2.359509e-01,-1.467432e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.923613e-07,3.594953e-07,0.000000e+00,0.000000e+00,-3.665124e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3700,1.358224e-07,-2.378108e-01,-1.479000e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.879231e-07,3.728099e-07,0.000000e+00,0.000000e+00,-6.281777e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3800,1.394933e-07,-2.398798e-01,-1.491867e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.055871e-07,3.550571e-07,0.000000e+00,0.000000e+00,4.060322e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3900,1.431642e-07,-2.413206e-01,-1.500828e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.346645e-07,3.905628e-07,0.000000e+00,0.000000e+00,3.524194e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4000,1.468351e-07,-2.432199e-01,-1.512640e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.167714e-07,3.950010e-07,0.000000e+00,0.000000e+00,-5.564271e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4100,1.505059e-07,4.301805e-02,2.675391e-14,4.868550e-05,0.000000e+00,0.000000e+00,6.346645e-07,4.438213e-07,0.000000e+00,0.000000e+00,9.142232e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4200,1.541768e-07,2.067702e+00,1.285951e-12,3.438224e-04,0.000000e+00,0.000000e+00,1.256014e-06,4.571360e-07,0.000000e+00,0.000000e+00,1.245655e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4300,1.578477e-07,4.051642e+00,2.519808e-12,3.438829e-04,0.000000e+00,2.479332e-04,8.161697e-06,3.994392e-07,1.079063e-08,1.857229e-12,-6.172523e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.079063e-08,0.0000,33.6687,66.3313,1.673488e+02
4400,1.615186e-07,5.867792e+00,3.649314e-12,3.416149e-04,0.000000e+00,3.405566e-04,3.421419e-05,2.929221e-07,1.465456e-08,-3.554352e-12,-2.156721e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.465456e-08,0.0000,54.5906,45.4094,1.636304e+02
4500,1.651895e-07,7.441064e+00,4.627768e-12,3.460299e-04,0.000000e+00,3.405566e-04,7.975114e-05,2.662928e-07,1.459029e-08,1.373602e-12,-1.735953e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.459029e-08,0.0000,65.2404,34.7596,1.621980e+02
