step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
2200,8.075929e-08,-2.084185e-01,-1.296202e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.192710e-07,3.328660e-07,0.000000e+00,0.000000e+00,-9.040023e-13,-2.652834e-13,-1.344348e-13,0.000000e+00,2.652834e-13,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.102784e-01,-1.307770e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.884839e-07,0.000000e+00,0.000000e+00,-1.864346e-13,-2.465411e-13,-1.346325e-13,0.000000e+00,2.465411e-13,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.120598e-01,-1.318848e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.257881e-07,3.239896e-07,0.000000e+00,0.000000e+00,-4.318997e-13,-2.109159e-13,-1.254525e-13,0.000000e+00,2.109159e-13,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.135530e-01,-1.328135e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.192710e-07,2.662928e-07,0.000000e+00,0.000000e+00,2.631252e-13,-1.942969e-13,-9.589065e-14,0.000000e+00,1.942969e-13,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.156749e-01,-1.341331e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.441017e-07,0.000000e+00,0.000000e+00,9.868017e-14,-1.652367e-13,-1.000191e-13,0.000000e+00,1.652367e-13,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.177444e-01,-1.354202e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.391027e-07,2.884839e-07,0.000000e+00,0.000000e+00,-8.884657e-13,-1.449369e-13,-8.993496e-14,0.000000e+00,1.449369e-13,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.201545e-01,-1.369191e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.323052e-07,3.239896e-07,0.000000e+00,0.000000e+00,2.859207e-13,-1.155813e-13,-7.927327e-14,0.000000e+00,1.155813e-13,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.224859e-01,-1.383691e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.612938e-07,2.662928e-07,0.000000e+00,0.000000e+00,-3.979106e-13,-1.358100e-13,-6.968285e-14,0.000000e+00,1.358100e-13,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.243983e-01,-1.395584e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.568556e-07,3.328660e-07,0.000000e+00,0.000000e+00,4.289900e-13,-1.119502e-13,-2.510959e-14,0.000000e+00,1.119502e-13,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.268607e-01,-1.410899e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.500580e-07,3.328660e-07,0.000000e+00,0.000000e+00,-4.765877e-13,-8.748426e-14,-2.158539e-14,0.000000e+00,8.748426e-14,0.0000,0.0000,100.0000,nan
3200,1.174681e-07,-2.294018e-01,-1.426702e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.722491e-07,3.417424e-07,0.000000e+00,0.000000e+00,-1.774509e-13,-2.602970e-14,-3.832615e-15,0.000000e+00,2.602970e-14,0.0000,0.0000,100.0000,nan
3300,1.211389e-07,-2.322048e-01,-1.444135e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.544963e-07,2.796074e-07,0.000000e+00,0.000000e+00,-5.150281e-13,6.381974e-15,6.242989e-14,0.000000e+00,-6.381974e-15,0.0000,0.0000,100.0000,nan
3400,1.248098e-07,-2.340385e-01,-1.455539e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.012377e-07,3.905628e-07,0.000000e+00,0.000000e+00,-3.611339e-13,-3.610519e-14,1.193401e-13,0.000000e+00,3.610519e-14,0.0000,0.0000,100.0000,nan
3500,1.284807e-07,-2.356103e-01,-1.465315e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.456198e-07,4.793270e-07,0.000000e+00,0.000000e+00,-7.401046e-13,-3.101825e-14,1.509790e-13,0.000000e+00,3.101825e-14,0.0000,0.0000,100.0000,nan
3600,1.321516e-07,-2.373131e-01,-1.475904e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.524174e-07,3.639335e-07,0.000000e+00,0.000000e+00,1.175488e-13,2.694099e-14,1.354760e-13,0.000000e+00,-2.694099e-14,0.0000,0.0000,100.0000,nan
3700,1.358224e-07,-2.390945e-01,-1.486983e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.746084e-07,3.728099e-07,0.000000e+00,0.000000e+00,-5.853576e-13,5.227173e-14,7.883382e-14,0.000000e+00,-5.227173e-14,0.0000,0.0000,100.0000,nan
3800,1.394933e-07,-2.410592e-01,-1.499202e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.879231e-07,3.550571e-07,0.000000e+00,0.000000e+00,4.344121e-13,5.345762e-14,9.896164e-14,0.000000e+00,-5.345762e-14,0.0000,0.0000,100.0000,nan
3900,1.431642e-07,-2.423166e-01,-1.507022e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,3.905628e-07,0.000000e+00,0.000000e+00,4.985545e-14,3.549481e-14,8.397196e-14,0.000000e+00,-3.549481e-14,0.0000,0.0000,100.0000,nan
