step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.436264e-02,-1.515168e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.327258e-06,1.997196e-07,0.000000e+00,0.000000e+00,4.833655e-13,-3.196238e-13,-7.226461e-13,0.000000e+00,3.196238e-13,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-4.864670e-02,-3.025449e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.269561e-06,1.553375e-07,0.000000e+00,0.000000e+00,7.581556e-13,-6.828530e-13,-6.867864e-13,0.000000e+00,6.828530e-13,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-6.989197e-02,-4.346741e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.790234e-06,1.908432e-07,0.000000e+00,0.000000e+00,5.223306e-13,-5.966852e-13,-8.517573e-13,0.000000e+00,5.966852e-13,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-9.016797e-02,-5.607752e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.630458e-06,1.952814e-07,0.000000e+00,0.000000e+00,4.428145e-13,-5.150500e-13,-8.461434e-13,0.000000e+00,5.150500e-13,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.076672e-01,-6.696067e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.168884e-06,2.041578e-07,0.000000e+00,0.000000e+00,-5.785055e-13,-9.250355e-13,-3.519773e-13,0.000000e+00,9.250355e-13,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.227301e-01,-7.632865e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.707310e-06,1.553375e-07,0.000000e+00,0.000000e+00,2.460882e-13,-1.217946e-12,-2.928231e-13,0.000000e+00,1.217946e-12,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.368499e-01,-8.511011e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.596355e-06,2.041578e-07,0.000000e+00,0.000000e+00,-3.577394e-13,-1.674655e-12,3.336978e-14,0.000000e+00,1.674655e-12,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.492408e-01,-9.281629e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.298994e-06,1.997196e-07,0.000000e+00,0.000000e+00,1.862827e-13,-1.455700e-12,6.810711e-14,0.000000e+00,1.455700e-12,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.596146e-01,-9.926797e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.983881e-06,2.263489e-07,0.000000e+00,0.000000e+00,-4.309839e-13,-1.411713e-12,-5.119401e-14,0.000000e+00,1.411713e-12,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.674997e-01,-1.041719e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.553375e-06,2.174725e-07,0.000000e+00,0.000000e+00,5.825558e-13,-1.647896e-12,1.068936e-13,0.000000e+00,1.647896e-12,0.0000,0.0000,100.0000,nan
1100,4.037964e-08,-1.753062e-01,-1.090270e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.500116e-06,1.775285e-07,0.000000e+00,0.000000e+00,-1.043198e-12,-1.872868e-12,3.078728e-13,0.000000e+00,1.872868e-12,0.0000,0.0000,100.0000,nan
1200,4.405052e-08,-1.817767e-01,-1.130511e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.304835e-06,2.085960e-07,0.000000e+00,0.000000e+00,1.324189e-13,-1.739867e-12,2.691155e-13,0.000000e+00,1.739867e-12,0.0000,0.0000,100.0000,nan
1300,4.772140e-08,-1.864659e-01,-1.159674e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.047418e-06,2.529782e-07,0.000000e+00,0.000000e+00,-8.148129e-13,-1.481532e-12,7.254452e-13,0.000000e+00,1.481532e-12,0.0000,0.0000,100.0000,nan
1400,5.139227e-08,-1.912598e-01,-1.189489e-13,0.000000e+00,0.000000e+00,0.000000e+00,9.897216e-07,1.775285e-07,0.000000e+00,0.000000e+00,-2.798016e-13,-1.586923e-12,8.504926e-13,0.000000e+00,1.586923e-12,0.0000,0.0000,100.0000,nan
1500,5.506315e-08,-1.946392e-01,-1.210506e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.855638e-07,2.130342e-07,0.000000e+00,0.000000e+00,3.579572e-13,-1.594363e-12,1.042383e-12,0.000000e+00,1.594363e-12,0.0000,0.0000,100.0000,nan
1600,5.873403e-08,-1.981233e-01,-1.232174e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.210695e-07,2.307871e-07,0.000000e+00,0.000000e+00,1.882752e-13,-1.742458e-12,1.192415e-12,0.000000e+00,1.742458e-12,0.0000,0.0000,100.0000,nan
1700,6.240490e-08,-2.018694e-01,-1.255472e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.299459e-07,1.952814e-07,0.000000e+00,0.000000e+00,-4.561849e-13,-1.909657e-12,1.046886e-12,0.000000e+00,1.909657e-12,0.0000,0.0000,100.0000,nan
1800,6.607578e-08,-2.051701e-01,-1.276000e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.678109e-07,2.085960e-07,0.000000e+00,0.000000e+00,2.019306e-13,-2.028325e-12,1.215303e-12,0.000000e+00,2.028325e-12,0.0000,0.0000,100.0000,nan
1900,6.974666e-08,-2.084185e-01,-1.296202e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.544963e-07,2.041578e-07,0.000000e+00,0.000000e+00,-1.817844e-13,-1.664495e-12,1.766542e-12,0.000000e+00,1.664495e-12,0.0000,0.0000,100.0000,nan
2000,7.341753e-08,-2.108809e-01,-1.311517e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.056759e-07,2.884839e-07,0.000000e+00,0.000000e+00,3.221663e-13,-1.192273e-12,2.015355e-12,0.000000e+00,1.192273e-12,0.0000,0.0000,100.0000,nan
2100,7.708841e-08,-2.134220e-01,-1.327320e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.189906e-07,2.884839e-07,0.000000e+00,0.000000e+00,9.409616e-13,-1.039383e-12,2.373749e-12,0.000000e+00,1.039383e-12,0.0000,0.0000,100.0000,nan
2200,8.075929e-08,-2.159368e-01,-1.342961e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.411816e-07,3.151131e-07,0.000000e+00,0.000000e+00,-8.266131e-13,-1.063228e-12,2.715558e-12,0.000000e+00,1.063228e-12,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.179802e-01,-1.355668e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.346645e-07,2.884839e-07,0.000000e+00,0.000000e+00,-1.850397e-13,-3.037697e-13,3.278716e-12,0.000000e+00,3.037697e-13,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.199973e-01,-1.368213e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.524174e-07,3.106749e-07,0.000000e+00,0.000000e+00,-5.137762e-13,5.649902e-13,3.309250e-12,0.000000e+00,-5.649902e-13,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.226693e-01,-1.384831e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.879231e-07,2.352253e-07,0.000000e+00,0.000000e+00,3.571093e-13,1.668197e-12,2.949220e-12,0.000000e+00,-1.668197e-12,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.251318e-01,-1.400146e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.101141e-07,2.929221e-07,0.000000e+00,0.000000e+00,-9.073043e-14,1.993761e-12,2.208004e-12,0.000000e+00,-1.993761e-12,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.281444e-01,-1.418882e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.456198e-07,2.352253e-07,0.000000e+00,0.000000e+00,-5.210491e-13,2.328395e-12,1.603561e-12,0.000000e+00,-2.328395e-12,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.302139e-01,-1.431753e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.657320e-07,3.151131e-07,0.000000e+00,0.000000e+00,-1.253182e-13,2.957156e-12,8.719635e-13,0.000000e+00,-2.957156e-12,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.329645e-01,-1.448859e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.234288e-07,2.574164e-07,0.000000e+00,0.000000e+00,-3.369058e-13,3.077496e-12,1.500720e-13,0.000000e+00,-3.077496e-12,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.345625e-01,-1.458798e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,3.328660e-07,0.000000e+00,0.000000e+00,7.385787e-14,3.113934e-12,-6.226619e-13,0.000000e+00,-3.113934e-12,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.367106e-01,-1.472157e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.657320e-07,3.017985e-07,0.000000e+00,0.000000e+00,1.503798e-13,2.904786e-12,-1.423866e-12,0.000000e+00,-2.904786e-12,0.0000,0.0000,100.0000,nan
3200,1.174681e-07,-2.384657e-01,-1.483073e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.391027e-07,3.417424e-07,0.000000e+00,0.000000e+00,3.520254e-13,3.036662e-12,-2.192280e-12,0.000000e+00,-3.036662e-12,0.0000,0.0000,100.0000,nan
3300,1.211389e-07,-2.405353e-01,-1.495944e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.213499e-07,2.707310e-07,0.000000e+00,0.000000e+00,-9.983749e-13,2.694844e-12,-2.401803e-12,0.000000e+00,-2.694844e-12,0.0000,0.0000,100.0000,nan
3400,1.248098e-07,-2.419499e-01,-1.504741e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.124734e-07,3.728099e-07,0.000000e+00,0.000000e+00,-6.118562e-13,1.948495e-12,-1.978576e-12,0.000000e+00,-1.948495e-12,0.0000,0.0000,100.0000,nan
3500,1.284807e-07,-2.428667e-01,-1.510444e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,4.482595e-07,0.000000e+00,0.000000e+00,-9.871161e-13,1.406289e-12,-1.997159e-12,0.000000e+00,-1.406289e-12,0.0000,0.0000,100.0000,nan
3600,1.321516e-07,-2.438884e-01,-1.516798e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.592149e-07,3.861246e-07,0.000000e+00,0.000000e+00,6.111716e-13,1.134200e-12,-2.538460e-12,0.000000e+00,-1.134200e-12,0.0000,0.0000,100.0000,nan
3700,1.358224e-07,-2.441766e-01,-1.518590e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.127538e-07,3.639335e-07,0.000000e+00,0.000000e+00,-9.341283e-13,6.316225e-13,-3.114282e-12,0.000000e+00,-6.316225e-13,0.0000,0.0000,100.0000,nan
3800,1.394933e-07,-2.445433e-01,-1.520871e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.349449e-07,3.728099e-07,0.000000e+00,0.000000e+00,8.511211e-13,2.343763e-13,-2.863424e-12,0.000000e+00,-2.343763e-13,0.0000,0.0000,100.0000,nan
3900,1.431642e-07,-2.447005e-01,-1.521848e-13,0.000000e+00,0.000000e+00,0.000000e+00,3.861246e-07,3.594953e-07,0.000000e+00,0.000000e+00,-5.753940e-13,-7.143578e-13,-2.702485e-12,0.000000e+00,7.143578e-13,0.0000,0.0000,100.0000,nan
4000,1.468351e-07,-2.451458e-01,-1.524618e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.660124e-07,3.905628e-07,0.000000e+00,0.000000e+00,9.213735e-14,-1.177591e-12,-2.189178e-12,0.000000e+00,1.177591e-12,0.0000,0.0000,100.0000,nan
4100,1.505059e-07,4.248050e-02,2.641959e-14,4.868550e-05,0.000000e+00,0.000000e+00,4.127538e-07,4.571360e-07,0.000000e+00,0.000000e+00,8.942193e-13,-1.724656e-12,-3.286509e-11,-2.839064e-13,1.724656e-12,0.0000,0.0000,100.0000,nan
4200,1.541768e-07,2.069443e+00,1.287034e-12,3.438224e-04,0.000000e+00,0.000000e+00,8.654516e-07,4.526978e-07,0.000000e+00,0.000000e+00,7.032822e-13,-1.400779e-10,-1.858851e-09,-1.379134e-10,1.400779e-10,0.0000,0.0000,100.0000,nan
4300,1.578477e-07,4.061848e+00,2.526156e-12,3.438829e-04,0.000000e+00,2.412805e-04,6.745285e-06,4.171920e-07,1.010863e-08,-2.854499e-09,-5.458245e-12,-5.351767e-10,-3.939327e-09,-5.320819e-10,1.064381e-08,0.0000,32.7653,67.2347,1.674812e+02
4400,1.615186e-07,5.890232e+00,3.663270e-12,3.416149e-04,0.000000e+00,3.407078e-04,3.208828e-05,2.396635e-07,1.409371e-08,-4.035267e-09,-1.776675e-11,-5.728345e-10,-4.062646e-09,-5.680862e-10,1.466654e-08,0.0000,53.9875,46.0125,1.636505e+02
4500,1.651895e-07,7.491645e+00,4.659225e-12,3.460299e-04,0.000000e+00,3.405263e-04,7.493479e-05,2.174725e-07,1.401974e-08,-4.029137e-09,-1.422034e-11,-5.791272e-10,-4.087769e-09,-5.709075e-10,1.459887e-08,0.0000,64.7817,35.2183,1.622048e+02
4600,1.688603e-07,8.753162e+00,5.443792e-12,3.398006e-04,0.000000e+00,3.438829e-04,1.262464e-04,1.730903e-07,1.409070e-08,-4.075260e-09,1.610510e-11,-5.905065e-10,-4.087743e-09,-5.762486e-10,1.468120e-08,0.0000,71.7979,28.2021,1.608234e+02
4700,1.725312e-07,9.756356e+00,6.067701e-12,3.441248e-04,0.000000e+00,3.410706e-04,1.742605e-04,9.764069e-08,1.393079e-08,-4.035324e-09,7.362309e-11,-5.946078e-10,-4.082091e-09,-5.715341e-10,1.452540e-08,0.0000,76.2570,23.7430,1.598217e+02
4800,1.762021e-07,1.047133e+01,6.512358e-12,3.406170e-04,0.000000e+00,3.404658e-04,2.195305e-04,4.438213e-08,1.386279e-08,-4.028368e-09,1.403016e-10,-6.074164e-10,-4.110172e-09,-5.741889e-10,1.447020e-08,0.0000,79.5537,20.4463,1.589261e+02
4900,1.798730e-07,1.098501e+01,6.831830e-12,3.402542e-04,0.000000e+00,3.423105e-04,2.532474e-04,2.219107e-08,1.390208e-08,-4.034052e-09,1.937188e-10,-6.162392e-10,-4.093160e-09,-5.702458e-10,1.451832e-08,0.0000,82.1220,17.8780,1.580798e+02
5000,1.835438e-07,1.133562e+01,7.049879e-12,3.425826e-04,0.000000e+00,3.408590e-04,2.831829e-04,0.000000e+00,1.384579e-08,-4.018443e-09,2.174364e-10,-6.239212e-10,-4.091708e-09,-5.678671e-10,1.446971e-08,0.0000,84.0228,15.9772,1.581409e+02
5100,1.872147e-07,1.157031e+01,7.195841e-12,3.397401e-04,0.000000e+00,3.397401e-04,2.999781e-04,0.000000e+00,1.378326e-08,-3.993352e-09,2.218563e-10,-6.239742e-10,-4.100501e-09,-5.663339e-10,1.440724e-08,0.0000,85.5866,14.4134,1.577155e+02
5200,1.908856e-07,1.181688e+01,7.349187e-12,3.452134e-04,0.000000e+00,3.414033e-04,3.034398e-04,0.000000e+00,1.385010e-08,-4.002579e-09,1.541330e-10,-6.183058e-10,-4.121248e-09,-5.677909e-10,1.446840e-08,0.0000,86.7905,13.2095,1.576390e+02
5300,1.945565e-07,1.208651e+01,7.516878e-12,3.420081e-04,0.000000e+00,3.430967e-04,2.963265e-04,0.000000e+00,1.391786e-08,-4.024030e-09,8.109372e-11,-6.059985e-10,-4.137609e-09,-5.726772e-10,1.452386e-08,0.0000,87.9031,12.0969,1.576365e+02
5400,1.982273e-07,1.244215e+01,7.738060e-12,3.427036e-04,0.000000e+00,3.438224e-04,2.824503e-04,0.000000e+00,1.395619e-08,-4.020611e-09,3.041891e-11,-5.747295e-10,-4.102077e-09,-5.649318e-10,1.453092e-08,0.0000,88.8490,11.1510,1.577454e+02
5500,2.018982e-07,1.288640e+01,8.014346e-12,3.392260e-04,0.000000e+00,3.411311e-04,2.639619e-04,0.000000e+00,1.384388e-08,-3.970844e-09,-3.299657e-11,-5.487892e-10,-4.070586e-09,-5.614910e-10,1.439267e-08,0.0000,89.6699,10.3301,1.575731e+02
5600,2.055691e-07,1.341568e+01,8.343515e-12,3.407682e-04,0.000000e+00,3.400727e-04,2.510976e-04,0.000000e+00,1.380543e-08,-3.955237e-09,-5.969468e-11,-5.251159e-10,-4.043869e-09,-5.584403e-10,1.433055e-08,0.0000,90.3359,9.6641,1.576468e+02
5700,2.092400e-07,1.399766e+01,8.705464e-12,3.392865e-04,0.000000e+00,3.402844e-04,2.406866e-04,0.000000e+00,1.379892e-08,-3.954115e-09,-7.083668e-11,-5.100581e-10,-4.020709e-09,-5.604110e-10,1.430898e-08,0.0000,90.9479,9.0521,1.573109e+02
