step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
2200,8.075929e-08,-2.291083e-01,-1.359904e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.234288e-07,3.373042e-07,0.000000e+00,0.000000e+00,2.828860e-13,-2.734566e-13,-3.236674e-12,0.000000e+00,2.734566e-13,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.308375e-01,-1.370168e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.991588e-07,3.195514e-07,0.000000e+00,0.000000e+00,1.013428e-12,-2.819986e-13,-2.570659e-12,0.000000e+00,2.819986e-13,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.328138e-01,-1.381899e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.391027e-07,3.195514e-07,0.000000e+00,0.000000e+00,-9.188290e-13,-1.335533e-12,-1.837960e-12,0.000000e+00,1.335533e-12,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.339117e-01,-1.388416e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.970799e-07,3.195514e-07,0.000000e+00,0.000000e+00,7.663504e-14,-2.396576e-12,-1.121368e-12,0.000000e+00,2.396576e-12,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.357233e-01,-1.399168e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.947206e-07,3.017985e-07,0.000000e+00,0.000000e+00,-5.116254e-13,-2.822682e-12,-5.762982e-13,0.000000e+00,2.822682e-12,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.371505e-01,-1.407640e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.080352e-07,3.772481e-07,0.000000e+00,0.000000e+00,-1.464735e-12,-2.683216e-12,8.124569e-13,0.000000e+00,2.683216e-12,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.395660e-01,-1.421977e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.101141e-07,3.195514e-07,0.000000e+00,0.000000e+00,2.007223e-12,-9.357726e-13,1.084438e-12,0.000000e+00,9.357726e-13,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.411854e-01,-1.431590e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.902824e-07,3.284278e-07,0.000000e+00,0.000000e+00,-9.191061e-13,4.575157e-13,3.080380e-13,0.000000e+00,-4.575157e-13,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.429146e-01,-1.441854e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.101141e-07,4.305067e-07,0.000000e+00,0.000000e+00,7.435481e-13,1.330367e-12,-2.544102e-13,0.000000e+00,-1.330367e-12,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.443419e-01,-1.450326e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.680913e-07,3.373042e-07,0.000000e+00,0.000000e+00,-1.746361e-12,2.309957e-12,-3.751835e-13,0.000000e+00,-2.309957e-12,0.0000,0.0000,100.0000,nan
